序号,来源,发文字号,文件名,命中关键词(泛化),命中段落摘录,取舍理由,置信度,建议处理
212,nfra,国发〔2012〕11号,关于贯彻落实《“十二五期间”深化医药卫生体制改革规划暨实施方案》的通知, ,[body]…奠定坚实基础。 《医改“十二五”规划》是未来四年深化医药卫生体制改革的纲领性和指导性文件， 对保险业尤其是商业健康保险的发展也具有重要的指导意义。  医改是一项事关国计民生的重大民生工程、 民心工程、 发展工程， 是一项功在当代…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
213,nfra,保监发〔2012〕45号,关于上市保险公司发行次级可转换债券有关事项的通知,保单|保险公司|偿付能力 ,[title]…关于上市保险公司发行次级可转换债券有关事项的通知 保监发〔2012〕45号。各保险公司：。为拓宽保险公司资本补充渠道，提高保险…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
214,nfra,保监厅发〔2012〕6号,关于调整外资保险公司部分行政许可项目有关事项的通知,保险公司|保险公司分支机构|分支机构 ,[title]…关于调整外资保险公司部分行政许可项目有关事项的通知 保监厅发〔2012〕6号。各保监局，各外资保险公司：。为优化流程，提高效率，我…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
215,nfra,保监发〔2009〕111号,关于进一步完善财产保险承保理赔信息客户自主查询制度的通知, ,[body]…实现财产保险全险种领域（特殊风险业务除外）的查询，其中：非车险查询内容至少应当实现附件1所列明的查询项目（短期健康险、意外险查询内容参照保监发〔2009〕91号文件相关要求执行）；车险查询内容应当在实现111号文要求的基础上增…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(财产保险公司)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
216,nfra,保监发〔2011〕16号,关于改进服务质量 落实服务承诺有关问题的通知,保险公司|保险理赔 ,[meta]…关于改进服务质量 落实服务承诺有关问题的通知 保监发〔2011〕16号。各保险公司、各保监局、中国保险行业协会:。近年来，保险业深入贯彻落实科学发展观，积极转变发展方式，不断强化服务意识，努力…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
217,nfra,国办发〔2010〕28号,关于公布规章和规范性文件清理结果的通知,保险公司 ,[meta]…关于公布规章和规范性文件清理结果的通知 保监发〔2010〕100号。各保监局、各保险公司：。根据《国务院办公厅关于做好规章清理工作有关问题的通知》（国办发〔2010〕28号）的要求，我会对成立以来发…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
218,nfra,国办发〔2010〕28号,关于修改部分规章的决定, ,[body]…任职资格的行政处罚的”。 删去第二十七条。 删去第二十八条中“除前款规定的情形外”的表述。 （三）将《保险公司养老保险业务管理办法》（保监会令〔2007〕4号）第四十八条修改为“对违反《保险法》规定经营养老年金保险业务、尚未构成…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
219,nfra,,旅行社责任保险管理办法,保险公司|保险条款 ,[body]…或者领队人员依法应当承担的赔偿责任为保险标的的保险。 第三条 投保旅行社责任保险的旅行社和承保旅行社责任保险的保险公司，应当遵守本办法。 第二章 投 保 第四条 旅行社责任保险的保险责任，应当包括旅行社在组织旅游活动中依法对旅游…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
220,nfra,中国银行业监督管理委员会令2010年第6号,融资性担保公司董事、监事、高级管理人员任职资格管理暂行办法（中国银行业监督管理委员会令2010年第6号）,分支机构 ,[body]…称谓不同， 但实际履行董事、 监事、 高级管理人员职责的人员， 应当纳入本办法的任职资格管理。 融资性担保公司分支机构总经理的任职资格管理适用本办法关于高级管理人员的有关规定。 第三条  担任融资性担保公司董事、 监事、 高级管…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
221,nfra,保监发〔2010〕82号,中国保监会关于保险业进一步参与加强社会建设创新社会管理的意见（已废止）, ,[body]…。加强对农村基层干部的保险保障。稳步推进政策性农房保险。继续推动关爱农村留守儿童的有关工作。 二是大力推进健康养老保险发展，稳定人民群众的生活预期。深入贯彻落实新医改政策，积极参与多层次社会保障体系建设。在产品、数据、理赔等方面…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
222,nfra,保监中介〔2010〕925号,关于进一步规范银保专管员管理制度的通知（已废止）,保险公司|分支机构 ,[meta]…关于进一步规范银保专管员管理制度的通知（已废止） 保监中介〔2010〕925号。各保险公司：。2006年6月，保监会、银监会联合下发《关于规范银行代理保险业务的通知》（保监发〔2006〕70号），文件…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
223,nfra,保监厅发〔2010〕35号,关于开展保险业R&D资源清查的通知（已失效）,保险公司|保险资产管理 ,[meta]…关于开展保险业R&D资源清查的通知（已失效） 保监厅发〔2010〕35号。各保险公司、保险资产管理公司：。R&D（即研究与试验发展）活动经费支出及其占GDP的比重是衡量一个国家科技活动规模和科技…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
224,nfra,国家工商行政管理总局令2010年第3号,融资性担保公司管理暂行办法（中国银行业监督管理委员会、中华人民共和国国家发展和改革委员会、中华人民共和国工业和信息化部、中华人民共和国财政部、中华人民共和国商务部、中国人民银行、国家工商行政管理总局令2010年第3号）,分支机构 ,[body]…院建立的融资性担保业务监管部际联席会议报告工作。 第二章  设立、变更和终止 第八条  设立融资性担保公司及其分支机构，应当经监管部门审查批准。经批准设立的融资性担保公司及其分支机构，由监管部门颁发经营许可证，并凭该许可证向工商…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
